trending_date,country,views
2001-01-18,IN,170884369
2001-01-18,US,307958318
2001-02-18,IN,181454011
2001-02-18,US,320211642
2001-03-18,IN,144014157
2001-03-18,US,251099889
2001-04-18,IN,153359541
2001-04-18,US,239990961
2001-05-18,IN,122567836
2001-05-18,US,202066493
2001-06-18,IN,106580350
2001-06-18,US,208635326
2001-07-18,IN,101904754
2001-07-18,US,218772690
2001-08-18,IN,114049890
2001-08-18,US,231850086
2001-09-18,IN,115300329
2001-09-18,US,248347992
2001-12-18,IN,135366416
2001-12-18,US,200000937
2002-01-18,IN,130663318
2002-01-18,US,285213702
2002-02-18,IN,111576086
2002-02-18,US,208205332
2002-03-18,IN,91938235
2002-03-18,US,181514507
2002-04-18,IN,101156982
2002-04-18,US,206411196
2002-05-18,IN,35366705
2002-05-18,US,214355855
2002-06-18,US,316643047
2002-07-18,US,315519845
2002-08-18,US,383653654
2002-09-18,US,375218909
2002-10-18,US,374687228
2002-11-18,US,405072163
2002-12-18,US,405521012
2003-01-18,US,221846946
2003-02-18,US,214369321
2003-03-18,US,238248343
2003-04-18,US,246275268
2003-05-18,US,274185701
2003-06-18,US,263472101
2003-07-18,US,264561519
2003-08-18,US,250911518
2003-09-18,US,262123805
2003-10-18,US,276855930
2003-11-18,US,293109494
2003-12-18,US,310744714
2004-01-18,US,356766694
2004-02-18,US,369000913
2004-03-18,US,383058573
2004-04-18,US,389149868
2004-05-18,US,405397215
2004-06-18,US,422259701
2004-07-18,US,420654676
2005-01-18,US,799285892
2005-02-18,US,720232823
2005-03-18,US,764162814
2005-04-18,US,755841534
2005-05-18,US,796406168
2005-06-18,US,838536371
2005-07-18,US,894224918
2005-08-18,US,943425171
2005-09-18,US,1006703381
2005-10-18,US,761080011
2005-11-18,US,809375281
2005-12-18,US,779246516
2012-01-17,IN,160984176
2012-01-17,US,232922521
2012-02-17,IN,175460394
2012-02-17,US,216493881
2012-03-17,IN,200534240
2012-03-17,US,252269204
2012-04-17,IN,175794155
2012-04-17,US,284933560
2012-05-17,IN,204135274
2012-05-17,US,315863007
2012-06-17,IN,180487597
2012-06-17,US,336281463
2012-07-17,IN,205973576
2012-07-17,US,385936747
2012-08-17,IN,131599266
2012-08-17,US,395720361
2012-09-17,IN,189475560
2012-09-17,US,294591913
2012-10-17,IN,233025575
2012-10-17,US,327000962
2012-11-17,IN,268296254
2012-11-17,US,374007988
2012-12-17,IN,291338134
2012-12-17,US,356733762
