country,channel_title,avg_views,total_videos
US,"YouTube Spotlight",79029679,2
IN,"Marvel Entertainment",35381356,9
US,"Bruno Mars",26017628,2
US,MalumaVEVO,24231894,2
US,"Ed Sheeran",22750368,5
US,"Logan Paul Vlogs",21708180,4
US,JenniferLopezVEVO,21510454,2
IN,"Ed Sheeran",19755963,2
US,"Sony Pictures Entertainment",18523873,9
IN,"Universal Pictures",17924368,2
US,"Marvel Entertainment",16898097,16
US,DemiLovatoVEVO,15323630,3
US,"5-Minute Crafts",14627948,3
US,ibighit,14579793,7
US,"Dude Perfect",13999754,10
US,"Ram Trucks",12301274,2
US,T-Mobile,11732994,2
US,CalvinHarrisVEVO,11291516,3
US,jypentertainment,10680045,7
US,GEazyMusicVEVO,10149126,4
US,EminemVEVO,10133850,4
US,"Clash Royale",9833952,2
US,KatyPerryVEVO,9202701,2
US,ShawnMendesVEVO,8851648,3
US,DisneyÃ¢Â€Â¢Pixar,8794757,3
US,"Universal Pictures",8711813,13
IN,"RKD Digital",8369068,3
IN,YRF,7820511,13
US,TaylorSwiftVEVO,7682389,4
US,MigosVEVO,7632180,2
